TDEP,FACCZ,D4TM,ZACC,ZAC2,DXTM,DXT2,F1B1,F2B1,F3B1,F4B1,F5B1,F6B1,EDD1,EDD2,EDD3,EDD4,EDD5,EDD6,ERD1,ERD2,ERD3,ERD4,ERD5,ERD6
4199.972597655838,1.8367474,5259.0,0.9853828,0.9853828,27843,27844,396,355,282,382,389,259,72.56003,102.89431,203.38234,81.65379,76.34545,259.96725,64.25121,58.336777,91.98814,81.63012,116.55284,412.1402
4199.970097655839,1.8421102,5276.0,0.9848742,0.9848742,27847,27848,395,355,256,384,390,280,73.157906,102.44907,269.27545,79.82155,76.22244,206.59209,61.09649,54.295227,34.116856,79.262184,117.616936,339.9477
4199.967597655838,1.838535,5292.0,0.98416215,0.98416215,27849,27850,398,353,241,391,388,333,71.17848,104.48359,318.09216,75.62176,77.05011,125.25015,59.707817,52.6625,23.084566,78.38761,115.60204,294.69202
4199.965097655839,1.8382796,5309.0,0.98416215,0.98416215,27851,27852,404,350,235,391,386,366,67.749916,107.00202,341.80753,75.78285,78.325874,93.17164,60.138138,52.898163,17.504044,78.21501,113.746254,292.26035
4199.962597655838,1.8421102,5334.0,0.9842639,0.9842639,27853,27854,410,350,231,391,385,376,64.372856,107.65071,358.17432,75.82325,79.51074,85.32679,61.654133,52.274357,14.655331,77.95752,112.03761,304.18292
4199.960097655839,1.8336829,5359.0,0.9847725,0.9847725,27855,27856,406,349,228,389,379,364,66.606346,108.060165,372.24612,77.13862,83.14423,94.60051,62.60651,51.0515,13.24393,77.829414,111.15878,338.32404
4199.957597655839,1.8403226,5376.0,0.98578966,0.98578966,27859,27860,400,348,224,386,377,350,69.98621,109.22334,388.52808,78.979744,84.93566,106.85529,61.600582,48.80331,12.479933,74.211525,111.15878,355.29327
4199.9550976558385,1.8341937,5392.0,0.9853828,0.9853828,27861,27862,398,343,217,382,373,364,70.96514,114.41357,429.63596,81.74761,87.82668,94.916954,59.960194,48.15715,12.845933,73.40638,110.89782,363.49762
4199.952597655839,1.8354706,5409.0,0.9853828,0.9853828,27863,27864,403,343,205,379,367,374,67.976845,114.50579,504.342,83.327415,92.58228,86.89457,57.692303,46.806473,13.465085,72.76728,109.61114,377.0411
4199.950097655838,1.8364921,5434.0,0.9834501,0.9834501,27865,27866,405,341,198,378,366,388,66.792465,116.31002,552.64526,83.945045,93.239975,77.21661,56.837017,45.868107,14.517409,72.24925,109.35739,375.04483
4199.947597655839,1.8375134,5459.0,0.9810088,0.9810088,27867,27868,408,341,178,377,361,406,65.28619,116.31002,767.96155,85.25465,97.33885,66.21016,56.139717,45.47112,15.797247,70.66815,109.35739,385.24326
4199.945097655838,1.8400671,5476.0,0.9810088,0.9810088,27869,27870,415,340,167,378,360,430,61.57385,117.17471,953.7587,84.54444,98.4205,54.536884,56.565052,45.123966,17.206926,68.91996,109.44185,394.90787
4199.942597655839,1.8311292,5492.0,0.9802968,0.9802968,27871,27872,420,342,159,382,355,456,58.98779,114.8039,1137.1738,81.3963,102.8492,44.290173,58.117764,44.75382,18.431557,66.719284,108.853386,398.23807
